Customer ID,First Name,Last Name,Gender,Age Band,Country,City,Customer Type,Preferred Channel,Total Orders,Total Spend (USD),Last Purchase Date
CUST734011,Max,Campbell,Female,45-54,Europe,Amsterdam,New,In-Store,7,1521.0,2025-05-11
CUST656511,Oscar,Phillips,Female,45-54,Europe,Marseille,Returning,In-Store,8,2890.75,2025-09-19
CUST170433,Mia,Baker,Male,35-44,United Kingdom,Cardiff,Returning,In-Store,7,1995.25,2025-07-04
CUST828157,Leo,Thompson,Female,45-54,Europe,Paris,Returning,In-Store,12,5192.5,2024-02-29
CUST782218,Olivia,Murphy,Female,25-34,United Kingdom,Liverpool,New,In-Store,9,3349.5,2024-12-11
CUST194096,Riley,Bailey,Female,55+,United Kingdom,Belfast,New,In-Store,5,1758.0,2025-12-25
CUST965648,Chloe,Rodriguez,Female,18-24,United Kingdom,London,New,In-Store,5,1110.0,2025-10-16
CUST694647,Casey,Rodriguez,Female,18-24,United Kingdom,Manchester,Returning,In-Store,7,1679.0,2025-12-06
CUST176477,Kai,Turner,Male,35-44,Canada,Toronto,New,Mobile App,20,5169.75,2024-02-24
CUST542255,Ivy,Roberts,Female,35-44,Europe,Toulouse,New,In-Store,5,1279.0,2023-06-03
CUST852503,Chris,Lee,Female,35-44,United Kingdom,Cardiff,Returning,In-Store,6,1744.0,2025-04-26
CUST351845,Owen,Taylor,Female,35-44,Europe,Stockholm,New,Online,4,468.0,2023-03-10
CUST939681,Jordan,Cook,Male,45-54,United Kingdom,Glasgow,Returning,Online,9,1803.5,2025-12-30
CUST476563,Owen,Walker,Female,35-44,United Kingdom,York,New,Online,9,2877.5,2024-10-13
CUST303569,Sophia,Lee,Female,45-54,United Kingdom,London,Returning,In-Store,6,1879.25,2021-11-09
CUST420805,Chris,King,Male,18-24,United Kingdom,Glasgow,Returning,In-Store,10,3328.5,2024-10-23
CUST572329,Sam,Morris,Female,55+,United Kingdom,Manchester,Returning,In-Store,7,1902.0,2024-07-04
CUST719316,Emily,Anderson,Female,45-54,Canada,Vancouver,New,In-Store,6,1730.0,2025-10-30
CUST935071,Chris,Anderson,Female,45-54,Europe,Milan,Returning,In-Store,8,1894.5,2025-11-01
CUST275405,Ava,Bailey,Male,25-34,Canada,Vancouver,Returning,In-Store,5,1598.5,2025-11-06
CUST964202,Ivy,Carter,Female,55+,United Kingdom,London,Returning,In-Store,6,1166.75,2025-01-07
CUST574930,Jordan,Taylor,Female,25-34,United Kingdom,Plymouth,New,In-Store,2,756.5,2025-10-30
CUST215094,Aria,Campbell,Male,18-24,Europe,Cologne,New,In-Store,9,3126.0,2025-05-29
CUST933820,Kai,Roberts,Female,25-34,Europe,Amsterdam,Returning,In-Store,6,2635.0,2025-12-05
CUST414103,Zoe,Smith,Male,55+,Europe,Dublin,Returning,In-Store,2,990.0,2023-05-15
CUST658525,Taylor,Allen,Female,55+,Europe,Amsterdam,Returning,In-Store,7,2685.25,2025-01-24
CUST728329,Liam,Taylor,Female,35-44,United Kingdom,York,Returning,In-Store,6,1665.0,2024-05-05
CUST112066,Casey,Young,Female,35-44,Europe,Paris,New,In-Store,8,2284.0,2023-11-09
CUST299402,Maya,Wright,Female,35-44,Europe,Stockholm,Returning,In-Store,6,1710.25,2025-10-07
CUST717810,Liam,Thomas,Male,18-24,Europe,Marseille,Returning,In-Store,12,3584.5,2023-08-06
CUST392293,Ivy,Murphy,Female,35-44,Europe,Stockholm,Returning,In-Store,12,3693.0,2024-10-09
CUST108398,Olivia,Campbell,Male,25-34,United Kingdom,Birmingham,Returning,In-Store,7,2182.0,2025-12-04
CUST120961,Lily,Campbell,Female,35-44,United Kingdom,Cardiff,New,In-Store,13,3922.25,2025-12-22
CUST843800,Emily,Lee,Male,25-34,Europe,Cologne,Returning,Online,5,1058.5,2024-11-17
CUST238169,Casey,Carter,Female,25-34,Europe,Toulouse,New,Online,6,1359.75,2025-02-17
CUST190381,Hugo,Murphy,Female,35-44,United Kingdom,Brighton,Returning,Online,12,3409.0,2025-08-04
CUST606095,Freya,Harris,Male,25-34,United Kingdom,Birmingham,Returning,Mobile App,5,900.0,2023-03-04
CUST207042,Lucas,Jackson,Male,45-54,United Kingdom,Bristol,Returning,In-Store,6,1454.25,2025-06-09
CUST687780,Emily,Carter,Male,35-44,United Kingdom,Cambridge,Returning,In-Store,5,1395.5,2025-08-04
CUST589685,Riley,Bailey,Male,25-34,United Kingdom,York,Returning,In-Store,7,2323.0,2025-08-14
CUST684019,Harry,Nelson,Male,45-54,Europe,Toulouse,New,In-Store,4,1030.5,2024-03-31
CUST542443,Noah,Evans,Female,18-24,United Kingdom,Leeds,Returning,In-Store,5,1433.0,2020-09-29
CUST800523,Charlie,Stewart,Female,35-44,United Kingdom,Plymouth,Returning,In-Store,4,719.5,2021-11-28
CUST680278,Daniel,Evans,Female,25-34,United Kingdom,York,Returning,In-Store,8,2251.25,2025-05-11
CUST473752,Amelia,Carter,Male,25-34,United Kingdom,Leeds,Returning,In-Store,10,2981.25,2025-06-22
CUST113841,Chris,Jackson,Male,35-44,United Kingdom,Bristol,New,In-Store,6,1554.0,2025-10-17
CUST346141,Zoe,Harris,Male,45-54,United Kingdom,Plymouth,New,In-Store,4,1422.25,2024-03-02
CUST218287,Kai,Johnson,Female,25-34,Europe,Marseille,Returning,In-Store,9,2215.5,2025-10-05
CUST114022,Oscar,Baker,Female,55+,United Kingdom,Newcastle,Returning,In-Store,4,712.5,2024-11-06
CUST345853,Jacob,Smith,Female,35-44,Europe,Marseille,Returning,Online,4,900.75,2025-12-17
CUST285966,Max,Brown,Female,25-34,United Kingdom,York,New,In-Store,4,1466.5,2025-03-26
CUST169066,Jordan,Phillips,Female,35-44,Canada,Vancouver,New,In-Store,2,270.0,2024-01-11
CUST381148,Morgan,Turner,Female,35-44,Europe,Madrid,Returning,In-Store,7,1511.0,2020-10-02
CUST555908,Chris,Parker,Male,35-44,Canada,Toronto,Returning,In-Store,12,3415.5,2025-03-16
CUST260385,George,Taylor,Female,18-24,Canada,Vancouver,Returning,In-Store,10,3196.0,2024-12-30
CUST345799,Sam,Bailey,Female,45-54,United Kingdom,Glasgow,Returning,In-Store,8,2058.5,2025-10-10
CUST118130,Alex,Taylor,Male,45-54,United Kingdom,Liverpool,Returning,In-Store,4,1881.0,2025-01-14
CUST145363,Lucas,Thomas,Female,45-54,United Kingdom,Bristol,New,In-Store,10,3276.5,2024-10-13
CUST241702,Taylor,Martin,Female,35-44,United Kingdom,Cardiff,New,In-Store,6,1745.0,2025-12-27
CUST507630,Nora,Perez,Female,25-34,United Kingdom,Newcastle,Returning,In-Store,5,1839.75,2025-01-23
CUST699488,Max,Johnson,Male,35-44,United Kingdom,Cambridge,Returning,In-Store,6,1775.25,2025-04-23
CUST809504,Kai,Lee,Male,35-44,United Kingdom,Glasgow,New,In-Store,8,2486.75,2022-04-04
CUST666626,Hugo,Collins,Female,25-34,United Kingdom,York,Returning,In-Store,11,2855.5,2025-03-11
CUST655164,Ethan,Rodriguez,Male,35-44,Europe,Amsterdam,Returning,In-Store,7,1765.75,2025-10-15
CUST942114,Avery,Collins,Male,18-24,Europe,Milan,New,In-Store,4,1499.0,2023-08-14
CUST330077,Emily,King,Male,45-54,Europe,Amsterdam,Returning,In-Store,4,900.5,2025-07-19
CUST818350,Riley,Harris,Male,18-24,United Kingdom,Manchester,New,In-Store,7,2384.5,2024-04-02
CUST943183,Chris,Baker,Female,45-54,Canada,Toronto,Returning,In-Store,2,430.0,2020-05-06
CUST610979,Sam,Collins,Female,25-34,United Kingdom,Birmingham,Returning,Online,3,789.75,2021-01-30
CUST856498,Theo,Mitchell,Male,55+,United Kingdom,Belfast,Returning,In-Store,7,2285.75,2023-04-26
CUST223800,Kai,Green,Female,35-44,United Kingdom,Cardiff,New,Mobile App,4,878.0,2024-01-10
CUST890903,Zoe,Adams,Male,25-34,United Kingdom,Cardiff,Returning,Online,5,1888.5,2022-09-01
CUST607664,Aria,Carter,Male,18-24,United Kingdom,Cambridge,Returning,In-Store,5,1079.25,2025-02-19
CUST299380,Morgan,Phillips,Male,35-44,Canada,Vancouver,Returning,In-Store,10,4991.25,2023-05-30
CUST155435,Amelia,Thompson,Female,25-34,Europe,Amsterdam,Returning,Online,2,791.5,2021-08-17
CUST747934,Riley,Thomas,Male,45-54,United Kingdom,London,Returning,In-Store,16,4712.5,2025-03-11
CUST487795,Owen,Phillips,Female,45-54,United Kingdom,Brighton,Returning,Online,6,1192.25,2024-03-02
CUST379002,Jordan,Campbell,Male,35-44,Europe,Dublin,Returning,Online,9,3501.75,2024-10-20
CUST451232,Luca,Roberts,Female,25-34,United Kingdom,Plymouth,Returning,In-Store,9,2284.0,2025-02-27
CUST991910,Ella,Jackson,Male,25-34,Europe,Amsterdam,New,In-Store,7,1555.25,2022-12-15
CUST485032,Chloe,Murphy,Female,35-44,United Kingdom,Plymouth,Returning,Online,9,3831.0,2025-04-19
CUST170898,Mila,Cook,Female,25-34,United Kingdom,Cambridge,New,In-Store,8,2471.0,2024-10-16
CUST351843,Emma,Jackson,Male,35-44,United Kingdom,Plymouth,Returning,Online,4,1005.75,2020-01-01
CUST230827,Daniel,Wright,Female,35-44,Europe,Stockholm,Returning,In-Store,6,1992.25,2025-08-27
CUST717246,Jack,Stewart,Female,35-44,Europe,Stockholm,New,In-Store,12,3279.0,2025-06-19
CUST820358,Jamie,Collins,Male,35-44,Europe,Cologne,Returning,In-Store,6,1790.5,2023-06-23
CUST856849,Charlie,Baker,Female,35-44,United Kingdom,York,Returning,In-Store,6,1389.75,2024-02-16
CUST669593,Theo,Young,Female,45-54,United Kingdom,Manchester,Returning,In-Store,10,3263.25,2023-12-08
CUST791664,Harry,Garcia,Male,25-34,United Kingdom,Glasgow,Returning,In-Store,6,977.75,2025-11-11
CUST475560,Zoe,Baker,Female,18-24,Europe,Stockholm,New,Mobile App,5,1399.25,2023-10-11
CUST664976,Casey,Nelson,Male,25-34,United Kingdom,York,New,In-Store,8,2558.75,2024-03-19
CUST196277,Jacob,White,Female,25-34,United Kingdom,Manchester,Returning,In-Store,3,791.0,2020-04-03
CUST584509,Liam,Evans,Female,35-44,United Kingdom,Edinburgh,New,In-Store,6,1375.0,2025-12-17
CUST601720,Oscar,Nelson,Other,45-54,United Kingdom,Leeds,Returning,Online,4,1030.0,2023-11-28
CUST127975,Morgan,Roberts,Female,35-44,Europe,Paris,Returning,In-Store,5,1514.5,2025-12-27
CUST593477,Jordan,Allen,Female,55+,United Kingdom,Cambridge,Returning,In-Store,6,1164.0,2025-11-29
CUST750639,Ella,Perez,Male,18-24,United Kingdom,Leeds,Returning,In-Store,7,1868.5,2022-10-28
CUST430831,Morgan,Carter,Male,25-34,United Kingdom,London,Returning,In-Store,4,1064.0,2023-06-22
CUST590484,Ella,Baker,Female,18-24,United Kingdom,London,Returning,In-Store,6,2414.5,2023-02-01
CUST357465,Jacob,Cook,Male,35-44,United Kingdom,Leeds,Returning,In-Store,8,3163.75,2024-01-20
CUST343666,Ivy,Harris,Female,25-34,United Kingdom,Edinburgh,Returning,In-Store,7,2319.0,2025-06-27
CUST216544,Maya,Anderson,Male,25-34,Europe,Amsterdam,Returning,In-Store,14,3293.5,2025-04-13
CUST395057,Alex,Cook,Male,25-34,United Kingdom,Plymouth,Returning,Online,8,3648.0,2025-07-04
CUST822874,Zoe,Martinez,Male,45-54,United Kingdom,York,Returning,In-Store,6,1156.5,2025-08-04
CUST942045,Noah,Garcia,Female,18-24,United Kingdom,Manchester,Returning,In-Store,9,3953.25,2022-05-24
CUST672062,Max,Murphy,Male,25-34,United Kingdom,Newcastle,Returning,In-Store,8,2301.5,2025-12-08
CUST661925,Nora,Morris,Male,35-44,United Kingdom,Manchester,Returning,In-Store,6,1709.5,2025-06-14
CUST652438,Luca,Garcia,Other,25-34,United Kingdom,Belfast,Returning,Online,6,1258.0,2023-11-04
CUST528320,Freya,Lee,Female,35-44,United Kingdom,Newcastle,Returning,In-Store,14,4481.0,2025-05-20
CUST480731,Aria,Walker,Female,35-44,Europe,Madrid,Returning,Mobile App,9,3296.25,2022-12-28
CUST658828,Alex,Johnson,Male,45-54,United Kingdom,Brighton,Returning,In-Store,3,748.75,2021-03-03
CUST805959,Harry,Taylor,Male,45-54,United Kingdom,Liverpool,Returning,In-Store,16,3785.25,2025-08-16
CUST472367,Jacob,Roberts,Female,25-34,Europe,Cologne,Returning,In-Store,10,2947.5,2025-10-11
CUST609302,Daniel,Anderson,Male,45-54,Canada,Vancouver,New,Online,5,1786.0,2021-09-27
CUST523163,Noah,Stewart,Male,35-44,Europe,Milan,Returning,In-Store,12,2887.25,2025-02-10
CUST356961,Leo,Young,Female,45-54,United Kingdom,Liverpool,Returning,In-Store,12,4322.0,2025-12-15
CUST361278,Jacob,White,Male,25-34,Europe,Milan,Returning,Online,7,1952.0,2024-09-16
CUST170893,Jamie,Thomas,Female,18-24,United Kingdom,Bristol,New,In-Store,1,555.75,2023-01-09
CUST495867,Ethan,Martin,Male,35-44,Europe,Marseille,New,In-Store,9,2601.0,2025-07-28
CUST741209,Chris,Taylor,Male,55+,Europe,Milan,Returning,In-Store,6,2563.5,2025-10-31
CUST717032,Nora,Green,Male,55+,United Kingdom,London,New,In-Store,8,3102.5,2021-11-10
CUST987099,Harry,Martinez,Female,25-34,United Kingdom,Leeds,Returning,In-Store,6,1754.5,2025-10-20
CUST135947,Noah,Roberts,Female,35-44,United Kingdom,Belfast,Returning,Online,6,1203.5,2023-04-23
CUST784590,Chloe,Jackson,Female,45-54,United Kingdom,Glasgow,Returning,Mobile App,0,0.0,
CUST815523,Alex,Parker,Male,25-34,United Kingdom,Southampton,Returning,In-Store,9,2328.0,2024-12-29
CUST492790,Zoe,Collins,Female,35-44,Europe,Milan,New,In-Store,9,1534.5,2025-07-21
CUST354681,Leo,Mitchell,Female,55+,United Kingdom,London,Returning,In-Store,3,696.75,2025-02-12
CUST421391,Liam,Phillips,Female,35-44,Europe,Toulouse,Returning,In-Store,2,516.25,2023-07-27
CUST714303,Ava,Morris,Female,25-34,Europe,Toulouse,Returning,In-Store,14,4667.0,2025-04-09
CUST875949,Jacob,Rodriguez,Female,18-24,Europe,Amsterdam,New,In-Store,5,1620.0,2025-11-07
CUST678452,Owen,Anderson,Female,25-34,Europe,Paris,Returning,Online,3,740.0,2022-03-12
CUST562768,Theo,King,Male,35-44,United Kingdom,Edinburgh,New,In-Store,6,1620.5,2025-06-06
CUST687364,Zoe,Rodriguez,Female,45-54,United Kingdom,Bristol,Returning,In-Store,6,1697.75,2025-01-05
CUST163536,Sam,Walker,Male,45-54,United Kingdom,Leeds,New,Online,3,807.0,2025-01-20
CUST647315,Oscar,Cook,Other,18-24,Europe,Toulouse,Returning,In-Store,9,2434.0,2025-11-12
CUST137926,Emma,Harris,Male,45-54,United Kingdom,Leeds,Returning,In-Store,6,1717.5,2022-05-30
CUST963190,Aria,Roberts,Male,18-24,United Kingdom,Brighton,Returning,In-Store,7,2046.75,2021-07-04
CUST900285,Hugo,Taylor,Male,18-24,United Kingdom,Plymouth,Returning,Online,11,2440.0,2024-05-23
CUST557509,Isla,Cook,Female,35-44,United Kingdom,Newcastle,New,In-Store,7,2856.75,2025-04-01
CUST436672,Max,Martinez,Male,35-44,United Kingdom,Liverpool,Returning,In-Store,7,1842.75,2025-10-25
CUST759086,Harry,Smith,Female,25-34,United Kingdom,Belfast,Returning,In-Store,15,5726.5,2024-11-28
CUST673823,Max,Brown,Female,25-34,United Kingdom,Birmingham,Returning,In-Store,10,3673.5,2024-03-08
CUST734903,Harry,Allen,Male,55+,United Kingdom,Birmingham,Returning,In-Store,10,2755.25,2023-11-27
CUST564023,Jacob,Jackson,Female,35-44,United Kingdom,Edinburgh,Returning,In-Store,6,2081.0,2025-07-13
CUST312640,Lily,Turner,Female,25-34,United Kingdom,Southampton,Returning,In-Store,9,3253.5,2025-03-22
CUST165926,Theo,Edwards,Female,55+,Europe,Marseille,New,In-Store,5,1985.5,2025-02-18
CUST354974,Riley,Martinez,Male,25-34,Canada,Vancouver,New,In-Store,3,1119.0,2024-06-23
CUST576098,Harry,Murphy,Female,25-34,United Kingdom,Liverpool,Returning,In-Store,8,1653.25,2025-11-12
CUST481614,Olivia,Thomas,Male,25-34,Canada,Vancouver,Returning,In-Store,7,1630.0,2023-11-05
CUST555729,Harry,White,Female,25-34,United Kingdom,Cardiff,New,In-Store,6,1580.0,2025-10-11
CUST349927,Olivia,Edwards,Female,18-24,United Kingdom,Plymouth,Returning,In-Store,6,1908.25,2024-02-17
CUST944081,Sam,Nelson,Male,25-34,Europe,Stockholm,Returning,In-Store,4,1453.25,2023-06-09
CUST430068,Riley,Walker,Male,35-44,United Kingdom,Cambridge,Returning,In-Store,7,2486.5,2025-08-28
CUST861539,Sophia,Nelson,Female,25-34,United Kingdom,Plymouth,New,In-Store,8,2397.5,2025-10-24
CUST451864,Emily,Morris,Male,18-24,Europe,Milan,New,Online,7,2381.5,2025-09-18
CUST499227,Lily,White,Male,35-44,Europe,Stockholm,Returning,In-Store,1,265.0,2021-03-12
CUST643477,Aria,Edwards,Male,25-34,United Kingdom,York,New,In-Store,2,582.75,2023-03-10
CUST336818,Liam,Walker,Female,35-44,United Kingdom,London,Returning,In-Store,7,1708.75,2025-11-21
CUST297900,Max,Johnson,Male,25-34,Europe,Paris,Returning,In-Store,8,2085.75,2025-09-12
CUST441271,Maya,Roberts,Male,35-44,Europe,Madrid,Returning,In-Store,6,2032.0,2024-12-04
CUST823861,Taylor,Johnson,Female,55+,Europe,Amsterdam,New,In-Store,4,1324.5,2024-10-14
CUST230140,Oscar,Johnson,Female,25-34,Canada,Vancouver,New,Online,9,2278.25,2025-09-15
CUST493782,Oscar,White,Female,35-44,Canada,Vancouver,Returning,Online,3,479.0,2025-01-12
CUST704904,Ava,Baker,Female,45-54,United Kingdom,Cambridge,Returning,Online,3,800.25,2021-02-14
CUST735618,Ethan,Young,Male,35-44,United Kingdom,Cardiff,New,Online,11,2417.75,2025-05-17
CUST490965,Sam,Cook,Male,25-34,Europe,Dublin,New,In-Store,7,1591.0,2024-03-08
CUST173298,Lucas,Perez,Male,25-34,United Kingdom,York,New,In-Store,3,914.25,2023-01-26
CUST114315,Sam,Harris,Male,35-44,United Kingdom,Bristol,Returning,Online,5,1520.5,2025-10-21
CUST522968,Oscar,Garcia,Male,25-34,United Kingdom,Bristol,New,In-Store,9,2523.0,2025-07-12
CUST829039,Amelia,Morris,Female,45-54,Europe,Toulouse,Returning,In-Store,5,829.0,2023-11-30
CUST125397,Noah,Martinez,Male,18-24,United Kingdom,Brighton,New,In-Store,13,4215.5,2025-11-03
CUST898729,Harry,Nelson,Male,18-24,United Kingdom,Liverpool,New,In-Store,3,470.0,2023-06-23
CUST708318,Jamie,Bailey,Female,25-34,United Kingdom,Newcastle,Returning,In-Store,5,1645.5,2022-06-11
CUST107250,Freya,Baker,Male,25-34,Europe,Amsterdam,Returning,Mobile App,4,857.0,2023-03-12
CUST409338,Jacob,Johnson,Female,35-44,United Kingdom,Brighton,New,Online,4,678.0,2023-11-02
CUST298451,George,Smith,Male,18-24,Europe,Toulouse,New,In-Store,8,1969.0,2025-03-30
CUST954326,Nina,Walker,Female,35-44,Europe,Paris,Returning,Mobile App,5,1512.5,2025-09-30
CUST599303,Zoe,Collins,Male,45-54,United Kingdom,York,Returning,In-Store,6,2351.0,2025-05-09
CUST391711,Kai,Smith,Male,45-54,United Kingdom,Liverpool,Returning,In-Store,14,4380.75,2024-08-21
CUST350243,Chris,Harris,Female,45-54,United Kingdom,Cardiff,New,Mobile App,7,1600.75,2024-08-01
CUST607424,Nina,Thomas,Male,35-44,Europe,Dublin,Returning,In-Store,5,1134.75,2023-10-16
CUST104585,Maya,Morris,Male,45-54,United Kingdom,Cardiff,New,In-Store,8,2347.25,2025-11-23
CUST331648,Isla,Taylor,Male,35-44,United Kingdom,Southampton,New,In-Store,5,2073.75,2025-08-23
CUST248868,Taylor,Bailey,Female,18-24,United Kingdom,Birmingham,Returning,In-Store,5,2762.25,2025-05-07
CUST658100,Theo,Nelson,Male,55+,United Kingdom,Newcastle,New,In-Store,8,2371.25,2025-10-26
CUST702300,Freya,Campbell,Female,18-24,Europe,Stockholm,New,Online,6,1733.5,2025-07-08
CUST520337,Liam,Smith,Female,25-34,United Kingdom,York,Returning,Online,6,3045.0,2025-05-26
CUST226026,Theo,Allen,Female,18-24,United Kingdom,Glasgow,Returning,In-Store,9,3218.5,2024-06-26
CUST433565,Freya,Thompson,Female,35-44,United Kingdom,Birmingham,New,Online,3,573.0,2021-08-01
CUST858609,Lucas,Turner,Male,35-44,Canada,Vancouver,New,Online,10,2952.0,2025-07-15
CUST283320,Ethan,Morris,Female,35-44,United Kingdom,Leeds,Returning,In-Store,8,2611.75,2024-03-01
CUST247030,Isla,Carter,Male,25-34,United Kingdom,Liverpool,New,In-Store,8,2558.5,2022-11-07
CUST200369,Charlie,Thompson,Male,18-24,United Kingdom,Bristol,New,In-Store,4,1220.0,2024-09-21
CUST835042,Jamie,Thompson,Female,25-34,Europe,Stockholm,Returning,In-Store,8,2853.25,2025-04-02
CUST207891,Sam,Smith,Female,18-24,Canada,Toronto,Returning,In-Store,12,4362.75,2025-04-09
CUST623456,Daniel,Baker,Male,18-24,Canada,Vancouver,New,In-Store,18,5233.75,2025-12-28
CUST999135,Emily,Anderson,Other,25-34,United Kingdom,Manchester,Returning,In-Store,4,740.0,2025-07-16
CUST677630,Zoe,Thomas,Female,55+,Europe,Milan,Returning,In-Store,4,621.0,2022-08-28
CUST471079,Kai,Morris,Male,45-54,United Kingdom,Cardiff,Returning,Online,15,5422.5,2025-09-19
CUST286143,Hugo,Edwards,Female,25-34,United Kingdom,Belfast,Returning,In-Store,4,950.0,2024-10-06
CUST101736,Taylor,Murphy,Female,25-34,Europe,Cologne,New,In-Store,12,2693.0,2025-11-13
